,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches
98,Adrian Peterson,WAS,RB,34,3,147.0,5,1040,228
99,D.K. Metcalf,SEA,WR,22,3,185.1,7,911,60
100,James White,NWE,RB,27,1,198.2,6,943,140
101,Odell Beckham,CLE,WR,27,1,201.3,4,1065,79
102,Emmanuel Sanders,2TM,WR,32,0,188.3,6,904,67
103,Latavius Murray,NOR,RB,29,0,157.2,6,872,180
104,Darius Slayton,NYG,WR,22,0,170.0,8,740,48
105,Jamison Crowder,NYJ,WR,26,0,197.7,6,837,79
106,Devin Singletary,BUF,RB,22,4,147.9,4,969,180
107,Cole Beasley,BUF,WR,30,0,180.8,6,778,67
108,Curtis Samuel,CAR,WR,23,0,171.7,7,757,73
109,Tevin Coleman,SFO,RB,26,0,135.4,7,724,158
110,James Conner,PIT,RB,24,1,145.5,7,715,150
111,Mike Williams,LAC,WR,25,0,161.3,2,1003,50
112,Damien Williams,KAN,RB,27,1,141.1,7,711,141
113,Robby Anderson,NYJ,WR,26,1,160.3,5,783,53
114,Chris Conley,JAX,WR,27,0,154.5,5,775,47
115,Duke Johnson,HOU,RB,26,1,154.0,5,820,127
116,Mason Rudolph,PIT,QB,24,4,108.8,13,1807,304
117,Jamaal Williams,GNB,RB,24,0,146.3,6,713,146
118,David Johnson,ARI,RB,28,1,141.5,6,715,130
119,Diontae Johnson,PIT,WR,23,5,157.1,5,721,63
120,Case Keenum,WAS,QB,31,6,103.48,12,1719,256
121,Golden Tate,NYG,WR,31,1,152.2,6,692,50
122,Larry Fitzgerald,ARI,WR,36,1,177.4,4,804,75
123,Breshad Perriman,TAM,WR,26,0,138.1,6,661,38
124,Peyton Barber,TAM,RB,25,1,114.5,7,585,170
125,Jordan Howard,PHI,RB,25,0,111.4,7,594,129
126,Tyrell Williams,OAK,WR,27,0,143.1,6,651,42
127,Marquise Brown,BAL,WR,22,0,146.4,7,584,46
128,Randall Cobb,DAL,WR,29,2,154.9,3,839,59
129,Christian Kirk,ARI,WR,23,0,166.2,3,802,78
130,Royce Freeman,DEN,RB,23,0,142.2,4,752,175
131,Mecole Hardman,KAN,WR,21,2,113.5,6,555,30
132,Zach Pascal,IND,WR,25,0,133.3,5,623,44
133,LeSean McCoy,KAN,RB,31,3,118.6,5,646,129
134,Dede Westbrook,JAX,WR,26,1,152.7,3,687,71
135,Teddy Bridgewater,NOR,QB,27,1,90.46,9,1415,224
136,James Washington,PIT,WR,23,1,133.5,3,735,44
137,Sammy Watkins,KAN,WR,26,2,136.5,3,685,54
138,Gus Edwards,BAL,RB,24,2,92.6,2,756,140
139,DeAndre Washington,OAK,RB,26,0,121.9,3,679,144
140,Tarik Cohen,CHI,RB,24,3,163.9,3,669,143
141,Joe Flacco,DEN,QB,34,8,82.88,6,1842,274
142,Will Fuller,HOU,WR,25,1,134.0,3,670,49
143,Marcus Mariota,TEN,QB,26,3,85.02,7,1332,184
144,Hunter Renfrow,OAK,WR,24,1,133.5,4,605,49
145,Sterling Shepard,NYG,WR,26,0,139.8,3,648,63
146,Matt Breida,SFO,RB,24,2,103.3,2,743,142
147,Adam Thielen,MIN,WR,29,0,114.4,7,424,34
148,Taysom Hill,NOR,QB,29,0,102.2,7,445,52
149,Frank Gore,BUF,RB,36,0,94.9,2,699,179
150,T.Y. Hilton,IND,WR,30,0,125.1,5,501,45
151,Kenny Stills,HOU,WR,27,0,120.1,4,561,40
152,Danny Amendola,DET,WR,34,0,140.56,2,697,63
153,Alshon Jeffery,PHI,WR,29,0,122.2,5,492,44
154,Dwayne Haskins,WAS,QB,22,6,74.7,7,1466,223
155,Brandin Cooks,LAR,WR,26,0,117.5,2,635,48
156,Darren Fells,HOU,TE,33,0,110.1,7,341,34
157,Anthony Miller,CHI,WR,25,1,127.5,2,655,53
158,Steven Sims,WAS,WR,22,1,103.5,5,395,44
159,Kerryon Johnson,DET,RB,22,1,85.0,4,530,123
160,Kyle Rudolph,MIN,TE,30,0,111.7,6,367,39
161,Rex Burkhead,NWE,RB,29,1,101.1,3,581,92
162,Nyheim Hines,IND,RB,23,1,105.9,2,519,96
163,Tony Pollard,DAL,RB,22,1,87.2,3,562,101
164,Boston Scott,PHI,RB,24,4,96.9,5,449,85
165,Corey Davis,TEN,WR,24,1,115.1,2,601,43
166,Phillip Dorsett,NWE,WR,26,0,100.8,5,418,32
167,Greg Olsen,CAR,TE,34,0,123.7,2,597,52
168,Chase Edmonds,ARI,RB,23,0,82.8,5,408,72
169,Noah Fant,DEN,TE,22,1,111.0,3,550,43
170,JuJu Smith-Schuster,PIT,WR,23,1,113.2,3,552,42
171,Jonnu Smith,TEN,TE,24,0,104.7,3,517,39
172,Jack Doyle,IND,TE,29,1,111.8,4,448,43
173,Demarcus Robinson,KAN,WR,25,0,100.9,4,449,32
174,Kendrick Bourne,SFO,WR,24,0,95.8,5,358,30
175,Allen Lazard,GNB,WR,24,0,102.8,3,498,36
176,Drew Lock,DEN,QB,23,3,68.0,7,1092,174
177,Rashaad Penny,SEA,RB,23,1,75.3,4,453,73
178,John Ross,CIN,WR,25,1,95.0,3,510,31
179,Evan Engram,NYG,TE,25,0,109.4,3,474,47
