,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches,PredictedPoints,+/-
102,Troy Niklas,ARI,TE,25.0,0.0,30.2,1.0,132.0,11.0,78.8220064399761,False
103,Gerald Everett,LAR,TE,24.0,0.0,84.6,3.0,336.0,35.0,95.67721107591099,False
104,Isaiah Crowell,CLE,RB,24.0,1.0,141.5,2.0,1035.0,234.0,83.72827522883846,True
105,Kendrick Bourne,SFO,WR,24.0,0.0,95.8,5.0,358.0,30.0,109.14673198148657,False
106,Dion Lewis,TEN,RB,29.0,1.0,66.3,1.0,373.0,79.0,76.7647045369906,False
107,Jalen Richard,OAK,RB,26.0,2.0,82.8,0.0,468.0,75.0,77.17039630121545,True
108,Myles Gaskin,MIA,RB,22.0,0.0,31.4,1.0,184.0,43.0,74.54914023034813,False
109,Jared Goff,LAR,QB,23.0,8.0,255.26,29.0,3855.0,505.0,326.5367078284843,False
110,Ryan Griffin,NYJ,TE,29.0,0.0,96.0,5.0,320.0,34.0,106.21796488332836,False
111,Orleans Darkwa,NYG,RB,25.0,1.0,135.7,5.0,867.0,190.0,101.18172782473381,True
112,Matt Breida,SFO,RB,23.0,1.0,162.5,5.0,1075.0,180.0,114.58446460116042,True
113,Maurice Harris,WAS,WR,26.0,1.0,59.4,0.0,314.0,30.0,78.82702379669381,False
114,DeVante Parker,MIA,WR,26.0,0.0,246.2,9.0,1202.0,72.0,167.64525130555631,True
115,Deonte Thompson,2TM,WR,28.0,1.0,105.0,2.0,550.0,40.0,100.4978449387122,True
116,A.J. Green,CIN,WR,29.0,2.0,226.8,8.0,1078.0,75.0,154.71918558400216,True
117,Jared Cook,OAK,TE,31.0,0.0,193.6,6.0,896.0,68.0,135.2913251365958,True
118,DeVante Parker,MIA,WR,25.0,0.0,60.9,1.0,309.0,24.0,85.47418698888083,False
119,Quincy Enunwa,NYJ,WR,26.0,2.0,86.9,1.0,449.0,39.0,89.69335794836523,False
120,Brandon Allen,DEN,QB,27.0,0.0,32.5,3.0,554.0,94.0,94.37097262283572,False
121,Randall Cobb,GNB,WR,28.0,2.0,86.3,2.0,383.0,38.0,91.95309273759855,False
122,Nick Foles,JAX,QB,30.0,2.0,35.74,3.0,759.0,121.0,99.43629013346109,False
123,Zach Ertz,PHI,TE,27.0,1.0,202.4,8.0,824.0,74.0,141.271768379102,True
124,David Johnson,ARI,RB,28.0,1.0,141.5,6.0,715.0,130.0,111.85095869621145,True
125,Elijah McGuire,NYJ,RB,23.0,2.0,74.2,2.0,492.0,105.0,83.01350568091459,False
126,Eric Ebron,IND,TE,26.0,0.0,86.5,3.0,375.0,31.0,98.65979073186594,False
